Operation Phoenix Weapon Case->Negev | Terrain (Field-Tested) (blue)
Horizon Case->R8 Revolver | Survivalist (Factory New) (blue)
Spectrum Case->Sawed-Off | Zander (Battle-Scarred) (blue)
Danger Zone Case->MP9 | Modest Threat (Minimal Wear) (blue)
Danger Zone Case->StatTrak™ Galil AR | Signal (Field-Tested) (purple)
Spectrum Case->PP-Bizon | Jungle Slipstream (Well-Worn) (blue)
Spectrum Case->StatTrak™ M249 | Emerald Poison Dart (Field-Tested) (purple)
Spectrum Case->MP7 | Akoben (Minimal Wear) (blue)
Spectrum Case->PP-Bizon | Jungle Slipstream (Minimal Wear) (blue)
Spectrum Case->P250 | Ripple (Field-Tested) (blue)
Danger Zone Case->Galil AR | Signal (Minimal Wear) (purple)
Danger Zone Case->Tec-9 | Fubar (Battle-Scarred) (blue)
Spectrum Case->Desert Eagle | Oxide Blaze (Field-Tested) (blue)
Danger Zone Case->StatTrak™ Tec-9 | Fubar (Battle-Scarred) (blue)
Glove Case->MP9 | Sand Scale (Factory New) (blue)
Danger Zone Case->Glock-18 | Oxide Blaze (Field-Tested) (blue)
Clutch Case->P2000 | Urban Hazard (Minimal Wear) (blue)
Clutch Case->PP-Bizon | Night Riot (Field-Tested) (blue)
Clutch Case->SG 553 | Aloha (Well-Worn) (blue)
Clutch Case->AUG | Stymphalian (Field-Tested) (pink)
Prisma Case->FAMAS | Crypsis (Minimal Wear) (blue)
Danger Zone Case->M4A4 | Magnesium (Field-Tested) (blue)
Clutch Case->Five-SeveN | Flame Test (Field-Tested) (blue)
Prisma Case->MAC-10 | Whitefish (Well-Worn) (blue)
Danger Zone Case->UMP-45 | Momentum (Field-Tested) (pink)
Spectrum Case->P250 | Ripple (Factory New) (blue)
Spectrum Case->Sawed-Off | Zander (Battle-Scarred) (blue)
Spectrum Case->StatTrak™ SCAR-20 | Blueprint (Field-Tested) (blue)
Danger Zone Case->Glock-18 | Oxide Blaze (Field-Tested) (blue)
Spectrum 2 Case->MAC-10 | Oceanic (Field-Tested) (blue)
Spectrum 2 Case->Sawed-Off | Morris (Field-Tested) (blue)
Spectrum 2 Case->SCAR-20 | Jungle Slipstream (Field-Tested) (blue)
Spectrum 2 Case->Glock-18 | Off World (Battle-Scarred) (blue)
Danger Zone Case->Nova | Wood Fired (Minimal Wear) (blue)
Clutch Case->MP9 | Black Sand (Field-Tested) (blue)
Clutch Case->PP-Bizon | Night Riot (Field-Tested) (blue)
Horizon Case->Tec-9 | Snek-9 (Field-Tested) (blue)
Clutch Case->Five-SeveN | Flame Test (Battle-Scarred) (blue)
Clutch Case->P2000 | Urban Hazard (Minimal Wear) (blue)
Clutch Case->MP9 | Black Sand (Battle-Scarred) (blue)
Clutch Case->UMP-45 | Arctic Wolf (Factory New) (purple)
Clutch Case->SG 553 | Aloha (Minimal Wear) (blue)
Clutch Case->StatTrak™ R8 Revolver | Grip (Field-Tested) (blue)
Clutch Case->StatTrak™ PP-Bizon | Night Riot (Field-Tested) (blue)
Clutch Case->SG 553 | Aloha (Factory New) (blue)
Gamma 2 Case->StatTrak™ MAG-7 | Petroglyph (Field-Tested) (purple)
Gamma 2 Case->XM1014 | Slipstream (Field-Tested) (blue)
Revolver Case->AUG | Ricochet (Field-Tested) (blue)
Spectrum 2 Case->AUG | Triqua (Field-Tested) (blue)
CS20 Case->FAMAS | Decommissioned (Battle-Scarred) (blue)
Clutch Case->StatTrak™ XM1014 | Oxide Blaze (Battle-Scarred) (blue)
CS20 Case->Glock-18 | Sacrifice (Well-Worn) (blue)
Danger Zone Case->MP9 | Modest Threat (Field-Tested) (blue)
Danger Zone Case->M4A4 | Magnesium (Field-Tested) (blue)
Shattered Web Case->Nova | Plume (Minimal Wear) (blue)
Clutch Case->StatTrak™ MP9 | Black Sand (Field-Tested) (blue)
Danger Zone Case->Tec-9 | Fubar (Well-Worn) (blue)
Clutch Case->PP-Bizon | Night Riot (Minimal Wear) (blue)
Clutch Case->R8 Revolver | Grip (Well-Worn) (blue)
Clutch Case->StatTrak™ SG 553 | Aloha (Minimal Wear) (blue)
Clutch Case->XM1014 | Oxide Blaze (Minimal Wear) (blue)
Horizon Case->Glock-18 | Warhawk (Field-Tested) (blue)
Horizon Case->Tec-9 | Snek-9 (Battle-Scarred) (blue)
Danger Zone Case->USP-S | Flashback (Minimal Wear) (purple)
Glove Case->P2000 | Turf (Well-Worn) (blue)
Glove Case->CZ75-Auto | Polymer (Minimal Wear) (blue)
Glove Case->MP9 | Sand Scale (Factory New) (blue)
CS20 Case->P250 | Inferno (Field-Tested) (purple)
CS20 Case->SCAR-20 | Assault (Field-Tested) (blue)
CS20 Case->SCAR-20 | Assault (Field-Tested) (blue)
CS20 Case->Dual Berettas | Elite 1.6 (Field-Tested) (blue)
Clutch Case->XM1014 | Oxide Blaze (Minimal Wear) (blue)
Glove Case->MAG-7 | Sonar (Minimal Wear) (blue)
Glove Case->StatTrak™ MP9 | Sand Scale (Minimal Wear) (blue)
Glove Case->MAG-7 | Sonar (Minimal Wear) (blue)
Glove Case->P2000 | Turf (Field-Tested) (blue)
Spectrum 2 Case->UMP-45 | Exposure (Field-Tested) (purple)
Spectrum 2 Case->Sawed-Off | Morris (Field-Tested) (blue)
Spectrum 2 Case->MP9 | Goo (Battle-Scarred) (purple)
Spectrum 2 Case->G3SG1 | Hunter (Well-Worn) (blue)
CS20 Case->MP5-SD | Agent (Field-Tested) (purple)
Prisma Case->MAC-10 | Whitefish (Field-Tested) (blue)
Operation Phoenix Weapon Case->UMP-45 | Corporal (Well-Worn) (blue)
Operation Phoenix Weapon Case->Negev | Terrain (Field-Tested) (blue)
Glove Case->Galil AR | Black Sand (Minimal Wear) (blue)
Glove Case->StatTrak™ Galil AR | Black Sand (Well-Worn) (blue)
Glove Case->StatTrak™ MP9 | Sand Scale (Field-Tested) (blue)
Glove Case->MP9 | Sand Scale (Field-Tested) (blue)
Glove Case->M4A1-S | Flashback (Well-Worn) (purple)
Glove Case->USP-S | Cyrex (Factory New) (purple)
Glove Case->Galil AR | Black Sand (Battle-Scarred) (blue)
Glove Case->Nova | Gila (Field-Tested) (purple)
Glove Case->M4A1-S | Flashback (Battle-Scarred) (purple)
Glove Case->StatTrak™ M4A1-S | Flashback (Well-Worn) (purple)
Glove Case->Galil AR | Black Sand (Field-Tested) (blue)
Glove Case->P2000 | Turf (Minimal Wear) (blue)
Glove Case->Sawed-Off | Wasteland Princess (Field-Tested) (pink)
Glove Case->CZ75-Auto | Polymer (Field-Tested) (blue)
Glove Case->P2000 | Turf (Minimal Wear) (blue)
Glove Case->StatTrak™ CZ75-Auto | Polymer (Factory New) (blue)
Glove Case->Galil AR | Black Sand (Minimal Wear) (blue)
Glove Case->MAG-7 | Sonar (Minimal Wear) (blue)
Spectrum 2 Case->StatTrak™ Glock-18 | Off World (Field-Tested) (blue)
CS20 Case->StatTrak™ MP5-SD | Agent (Minimal Wear) (purple)
CS20 Case->SCAR-20 | Assault (Factory New) (blue)
CS20 Case->P250 | Inferno (Field-Tested) (purple)
CS20 Case->MAC-10 | Classic Crate (Well-Worn) (blue)
Shattered Web Case->G3SG1 | Black Sand (Field-Tested) (blue)
Spectrum 2 Case->Sawed-Off | Morris (Field-Tested) (blue)
Chroma 2 Case->CZ75-Auto | Pole Position (Factory New) (purple)
Chroma 2 Case->MAG-7 | Heat (Well-Worn) (purple)
Chroma 2 Case->Desert Eagle | Bronze Deco (Factory New) (blue)
Clutch Case->P2000 | Urban Hazard (Well-Worn) (blue)
Clutch Case->MP9 | Black Sand (Well-Worn) (blue)
CS20 Case->MAG-7 | Popdog (Field-Tested) (blue)
Clutch Case->XM1014 | Oxide Blaze (Field-Tested) (blue)
Clutch Case->Five-SeveN | Flame Test (Factory New) (blue)
Clutch Case->Five-SeveN | Flame Test (Field-Tested) (blue)
Clutch Case->PP-Bizon | Night Riot (Battle-Scarred) (blue)
Clutch Case->XM1014 | Oxide Blaze (Battle-Scarred) (blue)
Clutch Case->R8 Revolver | Grip (Battle-Scarred) (blue)
Clutch Case->SG 553 | Aloha (Minimal Wear) (blue)
Clutch Case->Five-SeveN | Flame Test (Field-Tested) (blue)
Shattered Web Case->MP5-SD | Acid Wash (Battle-Scarred) (blue)
Shattered Web Case->M249 | Warbird (Field-Tested) (blue)
Spectrum 2 Case->Tec-9 | Cracked Opal (Minimal Wear) (blue)
Shattered Web Case->Dual Berettas | Balance (Field-Tested) (blue)
Clutch Case->StatTrak™ SG 553 | Aloha (Factory New) (blue)
Clutch Case->Five-SeveN | Flame Test (Field-Tested) (blue)
Clutch Case->MP9 | Black Sand (Minimal Wear) (blue)
Clutch Case->MAG-7 | SWAG-7 (Field-Tested) (purple)
Clutch Case->MP9 | Black Sand (Well-Worn) (blue)
Clutch Case->UMP-45 | Arctic Wolf (Well-Worn) (purple)
Clutch Case->SG 553 | Aloha (Factory New) (blue)
Clutch Case->Negev | Lionfish (Factory New) (purple)
Clutch Case->SG 553 | Aloha (Field-Tested) (blue)
Clutch Case->SG 553 | Aloha (Field-Tested) (blue)
Clutch Case->SG 553 | Aloha (Battle-Scarred) (blue)
Clutch Case->Glock-18 | Moonrise (Field-Tested) (purple)
Clutch Case->Negev | Lionfish (Factory New) (purple)
Clutch Case->P2000 | Urban Hazard (Well-Worn) (blue)
Clutch Case->MP9 | Black Sand (Field-Tested) (blue)
Clutch Case->P2000 | Urban Hazard (Battle-Scarred) (blue)
Clutch Case->PP-Bizon | Night Riot (Field-Tested) (blue)
Clutch Case->USP-S | Cortex (Field-Tested) (pink)
Clutch Case->SG 553 | Aloha (Battle-Scarred) (blue)
Clutch Case->XM1014 | Oxide Blaze (Field-Tested) (blue)
Clutch Case->Five-SeveN | Flame Test (Battle-Scarred) (blue)
Clutch Case->P2000 | Urban Hazard (Factory New) (blue)
Clutch Case->SG 553 | Aloha (Minimal Wear) (blue)
Clutch Case->R8 Revolver | Grip (Minimal Wear) (blue)
Clutch Case->StatTrak™ PP-Bizon | Night Riot (Field-Tested) (blue)
Clutch Case->R8 Revolver | Grip (Well-Worn) (blue)
Clutch Case->R8 Revolver | Grip (Well-Worn) (blue)
Clutch Case->StatTrak™ R8 Revolver | Grip (Field-Tested) (blue)
Clutch Case->UMP-45 | Arctic Wolf (Battle-Scarred) (purple)
Clutch Case->UMP-45 | Arctic Wolf (Field-Tested) (purple)
Clutch Case->R8 Revolver | Grip (Minimal Wear) (blue)
Clutch Case->StatTrak™ PP-Bizon | Night Riot (Battle-Scarred) (blue)
Clutch Case->AWP | Mortis (Battle-Scarred) (pink)
Clutch Case->Glock-18 | Moonrise (Factory New) (purple)
Clutch Case->SG 553 | Aloha (Factory New) (blue)
Clutch Case->XM1014 | Oxide Blaze (Minimal Wear) (blue)
Clutch Case->Glock-18 | Moonrise (Field-Tested) (purple)
Clutch Case->StatTrak™ MP9 | Black Sand (Battle-Scarred) (blue)
Clutch Case->StatTrak™ R8 Revolver | Grip (Battle-Scarred) (blue)
Clutch Case->PP-Bizon | Night Riot (Battle-Scarred) (blue)
Clutch Case->XM1014 | Oxide Blaze (Field-Tested) (blue)
Clutch Case->P2000 | Urban Hazard (Well-Worn) (blue)
CS20 Case->Tec-9 | Flash Out (Field-Tested) (blue)
CS20 Case->SCAR-20 | Assault (Field-Tested) (blue)
CS20 Case->SCAR-20 | Assault (Well-Worn) (blue)
Shattered Web Case->Nova | Plume (Field-Tested) (blue)
Shattered Web Case->AUG | Arctic Wolf (Field-Tested) (purple)
Shattered Web Case->M249 | Warbird (Battle-Scarred) (blue)
Shattered Web Case->Nova | Plume (Field-Tested) (blue)
Shattered Web Case->G3SG1 | Black Sand (Field-Tested) (blue)
Shattered Web Case->Nova | Plume (Field-Tested) (blue)
Shattered Web Case->MP7 | Neon Ply (Battle-Scarred) (purple)
Clutch Case->MP9 | Black Sand (Field-Tested) (blue)
Clutch Case->XM1014 | Oxide Blaze (Field-Tested) (blue)
Clutch Case->Nova | Wild Six (Field-Tested) (purple)
Clutch Case->R8 Revolver | Grip (Field-Tested) (blue)
Spectrum 2 Case->AK-47 | The Empress (Minimal Wear) (red)
Spectrum 2 Case->AUG | Triqua (Field-Tested) (blue)
Spectrum 2 Case->Glock-18 | Off World (Well-Worn) (blue)
Spectrum 2 Case->M4A1-S | Leaded Glass (Field-Tested) (pink)
Spectrum 2 Case->Sawed-Off | Morris (Well-Worn) (blue)
Spectrum 2 Case->SCAR-20 | Jungle Slipstream (Field-Tested) (blue)
Spectrum 2 Case->G3SG1 | Hunter (Field-Tested) (blue)
Spectrum 2 Case->Sawed-Off | Morris (Well-Worn) (blue)
Spectrum 2 Case->CZ75-Auto | Tacticat (Battle-Scarred) (purple)
Spectrum 2 Case->Glock-18 | Off World (Field-Tested) (blue)
Spectrum 2 Case->StatTrak™ SCAR-20 | Jungle Slipstream (Field-Tested) (blue)
Spectrum 2 Case->XM1014 | Ziggy (Well-Worn) (purple)
Spectrum 2 Case->SCAR-20 | Jungle Slipstream (Field-Tested) (blue)
Clutch Case->MP7 | Bloodsport (Minimal Wear) (red)
Prisma Case->FAMAS | Crypsis (Field-Tested) (blue)
Prisma Case->FAMAS | Crypsis (Field-Tested) (blue)
Prisma Case->P250 | Verdigris (Factory New) (blue)
Prisma Case->Galil AR | Akoben (Field-Tested) (blue)
Prisma Case->MAC-10 | Whitefish (Battle-Scarred) (blue)
Prisma Case->Galil AR | Akoben (Factory New) (blue)
Prisma Case->AK-47 | Uncharted (Factory New) (blue)
Prisma Case->MAC-10 | Whitefish (Minimal Wear) (blue)
Prisma Case->FAMAS | Crypsis (Factory New) (blue)
Prisma Case->AWP | Atheris (Field-Tested) (purple)
Prisma Case->AUG | Momentum (Field-Tested) (pink)
Prisma Case->Desert Eagle | Light Rail (Field-Tested) (purple)
Prisma Case->Galil AR | Akoben (Field-Tested) (blue)
Spectrum 2 Case->Sawed-Off | Morris (Battle-Scarred) (blue)
Spectrum 2 Case->AUG | Triqua (Well-Worn) (blue)
Clutch Case->SG 553 | Aloha (Field-Tested) (blue)
Gamma Case->Tec-9 | Ice Cap (Field-Tested) (blue)
Clutch Case->SG 553 | Aloha (Field-Tested) (blue)
Clutch Case->Nova | Wild Six (Battle-Scarred) (purple)
Prisma Case->P90 | Off World (Factory New) (blue)
Prisma Case->P90 | Off World (Battle-Scarred) (blue)
Prisma Case->P250 | Verdigris (Battle-Scarred) (blue)
Prisma Case->FAMAS | Crypsis (Factory New) (blue)
Prisma Case->MP7 | Mischief (Field-Tested) (blue)
Prisma Case->P250 | Verdigris (Field-Tested) (blue)
Prisma Case->AK-47 | Uncharted (Field-Tested) (blue)
Prisma Case->P250 | Verdigris (Minimal Wear) (blue)
Prisma Case->AK-47 | Uncharted (Field-Tested) (blue)
Prisma Case->P250 | Verdigris (Field-Tested) (blue)
Clutch Case->P2000 | Urban Hazard (Well-Worn) (blue)
Prisma Case->Galil AR | Akoben (Battle-Scarred) (blue)
Prisma Case->P90 | Off World (Field-Tested) (blue)
Prisma Case->P90 | Off World (Field-Tested) (blue)
Prisma Case->FAMAS | Crypsis (Factory New) (blue)
Prisma Case->P250 | Verdigris (Battle-Scarred) (blue)
Prisma Case->MAC-10 | Whitefish (Well-Worn) (blue)
Prisma Case->Galil AR | Akoben (Battle-Scarred) (blue)
CS20 Case->UMP-45 | Plastique (Field-Tested) (purple)
Prisma Case->MAC-10 | Whitefish (Battle-Scarred) (blue)
Glove Case->StatTrak™ MP7 | Cirrus (Field-Tested) (blue)
Glove Case->P2000 | Turf (Well-Worn) (blue)
Glove Case->Galil AR | Black Sand (Battle-Scarred) (blue)
Glove Case->P2000 | Turf (Field-Tested) (blue)
Glove Case->Glock-18 | Ironwork (Battle-Scarred) (blue)
Glove Case->P2000 | Turf (Well-Worn) (blue)
Glove Case->StatTrak™ MAG-7 | Sonar (Factory New) (blue)
Glove Case->P2000 | Turf (Well-Worn) (blue)
CS20 Case->Dual Berettas | Elite 1.6 (Battle-Scarred) (blue)
Danger Zone Case->SG 553 | Danger Close (Field-Tested) (blue)
Danger Zone Case->StatTrak™ MP9 | Modest Threat (Field-Tested) (blue)
Prisma Case->MP7 | Mischief (Minimal Wear) (blue)
Danger Zone Case->Nova | Wood Fired (Field-Tested) (blue)
Clutch Case->PP-Bizon | Night Riot (Field-Tested) (blue)
Clutch Case->Nova | Wild Six (Minimal Wear) (purple)
Clutch Case->StatTrak™ UMP-45 | Arctic Wolf (Field-Tested) (purple)
Clutch Case->P2000 | Urban Hazard (Battle-Scarred) (blue)
Clutch Case->Five-SeveN | Flame Test (Field-Tested) (blue)
Clutch Case->Five-SeveN | Flame Test (Battle-Scarred) (blue)
Clutch Case->Five-SeveN | Flame Test (Field-Tested) (blue)
Clutch Case->MP9 | Black Sand (Minimal Wear) (blue)
Clutch Case->P2000 | Urban Hazard (Well-Worn) (blue)
Clutch Case->SG 553 | Aloha (Field-Tested) (blue)
Clutch Case->StatTrak™ XM1014 | Oxide Blaze (Minimal Wear) (blue)
Clutch Case->Five-SeveN | Flame Test (Field-Tested) (blue)
Clutch Case->Glock-18 | Moonrise (Minimal Wear) (purple)
Clutch Case->StatTrak™ XM1014 | Oxide Blaze (Field-Tested) (blue)
Clutch Case->R8 Revolver | Grip (Battle-Scarred) (blue)
Clutch Case->UMP-45 | Arctic Wolf (Battle-Scarred) (purple)
Clutch Case->StatTrak™ Glock-18 | Moonrise (Battle-Scarred) (purple)
Clutch Case->SG 553 | Aloha (Field-Tested) (blue)
Clutch Case->R8 Revolver | Grip (Field-Tested) (blue)
Clutch Case->R8 Revolver | Grip (Minimal Wear) (blue)
CS20 Case->MAG-7 | Popdog (Field-Tested) (blue)
Clutch Case->MP9 | Black Sand (Well-Worn) (blue)
Clutch Case->MP9 | Black Sand (Battle-Scarred) (blue)
Clutch Case->StatTrak™ P2000 | Urban Hazard (Field-Tested) (blue)
Prisma 2 Case->StatTrak™ Desert Eagle | Blue Ply (Battle-Scarred) (blue)
Clutch Case->MP9 | Black Sand (Well-Worn) (blue)
Clutch Case->XM1014 | Oxide Blaze (Minimal Wear) (blue)
Clutch Case->XM1014 | Oxide Blaze (Field-Tested) (blue)
Clutch Case->StatTrak™ MP9 | Black Sand (Well-Worn) (blue)
Fracture Case->P2000 | Gnarled (Well-Worn) (blue)
Prisma 2 Case->MP5-SD | Desert Strike (Minimal Wear) (blue)
Prisma 2 Case->Desert Eagle | Blue Ply (Minimal Wear) (blue)
Fracture Case->MP5-SD | Kitbash (Field-Tested) (purple)
Clutch Case->StatTrak™ SG 553 | Aloha (Field-Tested) (blue)
Clutch Case->R8 Revolver | Grip (Battle-Scarred) (blue)
Clutch Case->Nova | Wild Six (Factory New) (purple)
Clutch Case->MP9 | Black Sand (Minimal Wear) (blue)
Fracture Case->Negev | Ultralight (Minimal Wear) (blue)
Fracture Case->StatTrak™ P250 | Cassette (Minimal Wear) (blue)
Clutch Case->XM1014 | Oxide Blaze (Field-Tested) (blue)
Clutch Case->R8 Revolver | Grip (Minimal Wear) (blue)
Danger Zone Case->SG 553 | Danger Close (Minimal Wear) (blue)
Horizon Case->R8 Revolver | Survivalist (Battle-Scarred) (blue)
Clutch Case->MP9 | Black Sand (Well-Worn) (blue)
Clutch Case->PP-Bizon | Night Riot (Minimal Wear) (blue)
Clutch Case->P2000 | Urban Hazard (Field-Tested) (blue)
Clutch Case->StatTrak™ Nova | Wild Six (Field-Tested) (purple)
Clutch Case->MP9 | Black Sand (Battle-Scarred) (blue)
Clutch Case->StatTrak™ P2000 | Urban Hazard (Factory New) (blue)
Prisma Case->AK-47 | Uncharted (Minimal Wear) (blue)
Clutch Case->SG 553 | Aloha (Well-Worn) (blue)
Clutch Case->PP-Bizon | Night Riot (Field-Tested) (blue)
Clutch Case->MP9 | Black Sand (Field-Tested) (blue)
Prisma Case->FAMAS | Crypsis (Minimal Wear) (blue)
Prisma Case->MP7 | Mischief (Field-Tested) (blue)
Clutch Case->XM1014 | Oxide Blaze (Factory New) (blue)
Danger Zone Case->StatTrak™ G3SG1 | Scavenger (Field-Tested) (purple)
Clutch Case->MP9 | Black Sand (Minimal Wear) (blue)
Clutch Case->Negev | Lionfish (Minimal Wear) (purple)
Danger Zone Case->Tec-9 | Fubar (Battle-Scarred) (blue)
Danger Zone Case->SG 553 | Danger Close (Well-Worn) (blue)
Danger Zone Case->StatTrak™ Tec-9 | Fubar (Well-Worn) (blue)
Prisma Case->StatTrak™ MP7 | Mischief (Field-Tested) (blue)
Gamma 2 Case->StatTrak™ Negev | Dazzle (Field-Tested) (blue)
Gamma 2 Case->CZ75-Auto | Imprint (Battle-Scarred) (blue)
Clutch Case->PP-Bizon | Night Riot (Field-Tested) (blue)
